Compound,inchi key,Label,TheoreticalMZ,mzMin,mzMax,avgMZ,rtMin,rtMax,avgRt,
21,SNICXCGAKADSCV-JTQLQIEISA-N,(S)-NICOTINE,163.123,163.118,163.128,163.1230,1.58,3.47,2.22,
112,FUOOLUPWFVMBKG-UHFFFAOYSA-N,2-AMINO-2-METHYLPROPANOATE,104.0706,104.0656,104.0756,104.0711,9,9.37,9.16,
110,FUOOLUPWFVMBKG-UHFFFAOYSA-N,2-aminoisobutyric acid,104.0706,104.0656,104.0756,104.0711,9.03,9.36,9.18,
19,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,2'-DEOXYADENOSINE,252.1091,252.1041,252.1141,252.1091,2.12,2.55,2.36,
58,YKBGVTZYEHREMT-KVQBGUIXSA-N,2'-DEOXYGUANOSINE,268.1041,268.0991,268.1091,268.1043,5.94,6.22,6.09,
11,UBQKCCHYAOITMY-UHFFFAOYSA-N,2-HYDROXYPYRIDINE,96.0444,96.0394,96.0494,96.0449,1.16,1.64,1.44,
186,SYJPAKDNFZLSMV-HWKANZROSA-N,2-METHYLPROPANAL OXIME,88.0757,88.0707,88.0807,88.0764,24.04,26,24.82,
87,IVOMOUWHDPKRLL-KQYNXXCUSA-N,"3',5'-CYCLIC AMP",330.0598,330.0548,330.0648,330.0603,7.77,8.18,7.96,
126,QCHPKSFMDHPSNR-UHFFFAOYSA-N,3-AMINOISOBUTANOATE,104.0706,104.0656,104.0756,104.0711,9.78,10.38,10.09,
26,FSASIHFSFGAIJM-UHFFFAOYSA-N,3-METHYLADENINE,150.0774,150.0724,150.0824,150.0775,2.05,2.8,2.36,
79,UZTFMUBKZQVKLK-UHFFFAOYSA-N,4-ACETAMIDOBUTANOATE,146.0812,146.0762,146.0862,146.0813,6.8,7.62,7.27,
22,ALYNCZNDIQEVRV-UHFFFAOYSA-N,4-AMINOBENZOATE,138.055,138.05,138.06,138.0550,2.55,3.09,2.80,
168,BTCSSZJGUNDROE-UHFFFAOYSA-N,4-AMINOBUTANOATE,104.0706,104.0656,104.0756,104.0711,11.37,12.23,11.75,
155,TUHVEAJXIMEOSA-UHFFFAOYSA-N,4-GUANIDINOBUTANOATE,146.0924,146.0874,146.0974,146.0925,10.56,11.31,10.92,
34,HCZHHEIFKROPDY-UHFFFAOYSA-N,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,190.0499,190.0449,190.0549,190.0504,2.44,6.44,4.06,
121,LJCWONGJFPCTTL-ZETCQYMHSA-N,4-HYDROXY-L-PHENYLGLYCINE,168.0655,168.0605,168.0705,168.0659,9.79,10.19,10.00,
120,PRJKNHOMHKJCEJ-UHFFFAOYSA-N,4-IMIDAZOLEACETIC ACID,127.0502,127.0452,127.0552,127.0504,9.65,10.35,9.95,
0,HSHNITRMYYLLCV-UHFFFAOYSA-N,4-methylumbelliferone,177.0546,177.0496,177.0596,177.0547,0.79,1.05,0.89,
2,HXACOUQIXZGNBF-UHFFFAOYSA-N,4-PYRIDOXATE,184.0605,184.0555,184.0655,184.0606,1.08,1.5,1.24,
8,OIVLITBTBDPEFK-UHFFFAOYSA-N,"5,6-DIHYDROURACIL",115.0502,115.0452,115.0552,115.0505,1.82,2.28,2.03,
172,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,5-AMINOLEVULINIC ACID,132.0655,132.0605,132.0705,132.0656,12.13,12.58,12.27,
170,JJMDCOVWQOJGCB-UHFFFAOYSA-N,5-aminovaleric acid (5-aminopentanoic acid),118.0863,118.0813,118.0913,118.0866,11.87,13.11,12.05,
16,XGYIMTFOTBMPFP-KQYNXXCUSA-N,5'-DEOXYADENOSINE,252.1091,252.1041,252.1141,252.1091,2.12,2.52,2.35,
33,LRSASMSXMSNRBT-UHFFFAOYSA-N,5-METHYLCYTOSINE HYDROCLORIDE,126.0662,126.0612,126.0712,126.0664,4,4.58,4.25,
13,WUUGFSXJNOTRMR-IOSLPCCCSA-N,5'-METHYLTHIOADENOSINE,298.0969,298.0919,298.1019,298.0973,1.61,2.02,1.80,
99,ODHCTXKNWHHXJC-VKHMYHEASA-N,5-OXO-L-PROLINE,130.0499,130.0449,130.0549,130.0501,8.19,8.92,8.62,
24,GFFGJBXGBJISGV-UHFFFAOYSA-N,ADENINE,136.0618,136.0568,136.0668,136.0619,2.54,3.44,2.87,
27,OIRDTQYFTABQOQ-KQYNXXCUSA-N,ADENOSINE,268.1041,268.0991,268.1091,268.1042,3.29,4,3.66,
86,IVOMOUWHDPKRLL-KQYNXXCUSA-N,"ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE",330.0598,330.0548,330.0648,330.0602,7.76,8.15,7.95,
164,UDMBCSSLTHHNCD-KQYNXXCUSA-N,ADENOSINE 5'-MONOPHOSPHATE,348.0704,348.0654,348.0754,348.0704,10.94,12.33,11.61,
162,OYIFNHCXNCRBQI-BYPYZUCNSA-N,ALPHA-AMINOADIPATE,162.0761,162.0711,162.0811,162.0761,10.6,12.79,11.39,
138,KPGXRSRHYNQIFN-UHFFFAOYSA-N,ALPHA-KETOGLUTARIC ACID,190.9927,190.9877,190.9977,190.9927,10.47,11.11,10.83,
23,RWZYAGGXGHYGMB-UHFFFAOYSA-N,ANTHRANILATE,138.055,138.05,138.06,138.0550,2.56,3.1,2.80,
125,UCMIRNVEIXFBKS-UHFFFAOYSA-N,BETA-ALANINE,90.055,90.05,90.06,90.0556,9.89,10.77,10.25,
101,KWIUHFFTVRNATP-UHFFFAOYSA-O,BETAINE,118.0863,118.0813,118.0913,118.0866,7.37,7.94,7.84,
178,CQOVPNPJLQNMDC-ZETCQYMHSA-N,CARNOSINE,227.1139,227.1089,227.1189,227.1144,13.53,14.51,14.24,
115,OEYIOHPDSNJKLS-UHFFFAOYSA-N,CHOLINE,104.107,104.102,104.112,104.1075,7.74,8.53,7.99,
49,WXCQAWGXWVRCGP-UHFFFAOYSA-O,Choline O-Sulfate,184.0638,184.0588,184.0688,184.0638,5.21,6.13,5.68,
161,RHGKLRLOHDJJDR-BYPYZUCNSA-N,CITRULLINE,176.103,176.098,176.108,176.1032,11.26,12.1,11.66,
136,CVSVTCORWBXHQV-UHFFFAOYSA-N,CREATINE,132.0768,132.0718,132.0818,132.0769,10.09,10.72,10.36,
31,DDRJAANPRJIHGJ-UHFFFAOYSA-N,CREATININE,114.0662,114.0612,114.0712,114.0665,3.6,4.7,4.26,
66,UHDGCWIWMRVCDJ-XVFCMESISA-N,CYTIDINE,244.0928,244.0878,244.0978,244.0930,6.37,6.81,6.58,
39,OPTASPLRGRRNAP-UHFFFAOYSA-N,CYTOSINE,112.0506,112.0456,112.0556,112.0509,4.67,5.26,5.03,
167,MSWZFWKMSRAUBD-GASJEMHNSA-N,D-(+)-GALACTOSAMINE,180.0867,180.0817,180.0917,180.0866,11.03,11.72,11.40,
147,MSWZFWKMSRAUBD-IVMDWMLBSA-N,D-(+)-GLUCOSAMINE,180.0867,180.0817,180.0917,180.0866,11.03,11.72,11.40,
148,HDTRYLNUVZCQOY-LIZSDCNHSA-N,D-(+)-TREHALOSE,365.1054,365.1004,365.1104,365.1064,9.75,10.96,10.25,
43,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,DEOXYCYTIDINE,228.0979,228.0929,228.1029,228.0982,5.15,5.66,5.42,
20,MXHRCPNRJAMMIM-SHYZEUOFSA-N,DEOXYURIDINE,229.0819,229.0769,229.0869,229.0819,2.35,2.85,2.56,
37,AUTOLBMXDDTRRT-JGVFFNPUSA-N,DETHIOBIOTIN,215.139,215.134,215.144,215.1392,3.85,4.82,4.35,
142,RGHNJXZEOKUKBD-SQOUGZDYSA-N,D-GLUCONATE,219.0475,219.0425,219.0525,219.0478,9.8,10.64,10.21,
28,PHOQVHQSTUBQQK-SQOUGZDYSA-N,"D-GLUCONO-1,5-LACTONE",179.055,179.05,179.06,179.0557,3.61,4.28,3.98,
154,ZBCBWPMODOFKDW-UHFFFAOYSA-N,DIETHANOLAMINE,106.0863,106.0813,106.0913,106.0867,8.71,11.13,10.05,
146,GUBGYTABKSRVRQ-QKKXKWKRSA-N,D-LACTOSE,365.1054,365.1004,365.1104,365.1064,9.72,10.92,10.25,
73,GHOKWGTUZJEAQD-ZETCQYMHSA-N,D-PANTOTHENIC ACID,220.118,220.113,220.123,220.1180,6.25,7.61,7.10,
44,LKDRXBCSQODPBY-JDJSBBGDSA-N,D-PSICOSE,203.0526,203.0476,203.0576,203.0527,3.39,5.9,4.98,
88,FBPFZTCFMRRESA-JGWLITMVSA-N,D-SORBITOL,205.0682,205.0632,205.0732,205.0684,7.94,8.51,8.18,
117,WQXNXVUDBPYKBA-YFKPBYRVSA-N,Ectoine,143.0815,143.0765,143.0865,143.0817,9.31,10.09,9.71,
159,OVBPIULPVIDEAO-LBPRGKRZSA-N,FOLIC ACID,442.147,442.142,442.152,442.1476,11.63,12.4,11.89,
94,FBPFZTCFMRRESA-GUCUJZIJSA-N,GALACTITOL,205.0682,205.0632,205.0732,205.0684,7.95,8.51,8.18,
166,DHCLVCXQIBBOPH-UHFFFAOYSA-N,GLYCEROL 2-PHOSPHATE,173.021,173.016,173.026,173.0212,11.62,12.76,12.06,
153,DHMQDGOQFOQNFH-UHFFFAOYSA-N,GLYCINE,76.0393,76.0343,76.0443,76.0399,10.7,11.61,11.21,
140,BPMFZUMJYQTVII-UHFFFAOYSA-N,GUANIDINOACETATE,118.0611,118.0561,118.0661,118.0615,10.36,10.93,10.70,
62,UYTPUPDQBNUYGX-UHFFFAOYSA-N,GUANINE,152.0567,152.0517,152.0617,152.0568,6.05,6.66,6.37,
80,NYHBQMYGNKIUIF-UUOKFMHZSA-N,GUANOSINE,284.099,284.094,284.104,284.0994,7.24,7.77,7.49,
111,ZOOGRGPOEVQQDX-UUOKFMHZSA-N,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",346.0547,346.0497,346.0597,346.0562,9.22,9.71,9.45,
40,QIAFMBKCNZACKA-UHFFFAOYSA-N,HIPPURATE,180.0655,180.0605,180.0705,180.0657,4.59,4.97,4.80,
177,NTYJJOPFIAHURM-UHFFFAOYSA-N,HISTAMINE,112.0869,112.0819,112.0919,112.0874,13.42,14.48,13.80,
174,ZTVZLYBCZNMWCF-UHFFFAOYSA-N,HOMOCYSTINE,269.0624,269.0574,269.0674,269.0621,12.2,14.14,13.25,
139,UKAUYVFTDYCKQA-VKHMYHEASA-N,HOMOSERINE,120.0655,120.0605,120.0705,120.0658,10.07,10.95,10.52,
29,FDGQSTZJBFJUBT-UHFFFAOYSA-N,HYPOXANTHINE,137.0458,137.0408,137.0508,137.0459,4.09,4.46,4.21,
6,ZOAMBXDOGPRZLP-UHFFFAOYSA-N,INDOLE-3-ACETAMIDE,175.0866,175.0816,175.0916,175.0867,1.35,1.63,1.48,
51,UGQMRVRMYYASKQ-KQYNXXCUSA-N,INOSINE,269.0881,269.0831,269.0931,269.0892,5.66,6.25,5.83,
45,TWBYWOBDOCUKOW-UHFFFAOYSA-N,Isonicotinic acid,124.0393,124.0343,124.0443,124.0396,5.46,6.1,5.76,
127,QNAYBMKLOCPYGJ-REOHCLBHSA-N,L-ALANINE,90.055,90.05,90.06,90.0556,9.95,10.75,10.25,
129,AYFVYJQAPQTCCC-HRFVKAFMSA-N,L-ALLOTHREONINE,120.0655,120.0605,120.0705,120.0658,10.17,10.86,10.52,
183,ODKSFYDXXFIFQN-BYPYZUCNSA-N,L-ARGININE,175.119,175.114,175.124,175.1190,17.86,19.39,18.34,
158,PHIQHXFUZVPYII-ZCFIWIBFSA-O,L-CARNITINE,162.1125,162.1075,162.1175,162.1125,11.04,11.69,11.32,
77,ROHFNLRQFUQHCH-UHFFFAOYSA-N,LEUCINE,132.1019,132.0969,132.1069,132.1021,6.82,7.17,7.02,
157,WHUUTDBJXJRKMK-VKHMYHEASA-N,L-GLUTAMIC ACID,148.0605,148.0555,148.0655,148.0604,10.69,11.74,11.37,
151,ZDXPYRJPNDTMRX-VKHMYHEASA-N,L-GLUTAMINE,147.0764,147.0714,147.0814,147.0764,10.66,11.67,11.16,
175,ZQISRDCJNBUVMM-YFKPBYRVSA-N,L-HISTIDINOL,142.0975,142.0925,142.1025,142.0976,11.34,13.19,12.05,
1,KIWQWJKWBHZMDT-VKHMYHEASA-N,L-HOMOCYSTEINE THIOLACTONE,118.0321,118.0271,118.0371,118.0324,0.92,1.38,1.12,
82,AGPKZVBTJJNPAG-WHFBIAKZSA-N,L-ISOLEUCINE,132.1019,132.0969,132.1069,132.1021,7.21,7.53,7.32,
185,KDXKERNSBIXSRK-YFKPBYRVSA-N,L-LYSINE,147.1128,147.1078,147.1178,147.1128,17.99,19.46,18.59,
95,SNDPXSYFESPGGJ-BYPYZUCNSA-N,L-NORVALINE,118.0863,118.0813,118.0913,118.0866,7.98,8.7,8.18,
184,AHLPHDHHMVZTML-BYPYZUCNSA-N,L-ORNITHINE,133.0972,133.0922,133.1022,133.0973,18.1,19.64,18.70,
71,COLNVLDHVKWLRT-QMMMGPOBSA-N,L-PHENYLALANINE,166.0863,166.0813,166.0913,166.0863,6.66,7.14,6.82,
156,MTCFGRXMJLQNBG-REOHCLBHSA-N,L-SERINE,106.0499,106.0449,106.0549,106.0503,11.04,12.23,11.49,
130,AYFVYJQAPQTCCC-GBXIJSLDSA-N,L-THREONINE,120.0655,120.0605,120.0705,120.0658,10.16,10.93,10.52,
81,QIVBCDIJIAJPQS-VIFPVBQESA-N,L-TRYPTOPHAN,205.0972,205.0922,205.1022,205.0974,7.19,7.75,7.44,
107,OUYCCCASQSFEME-QMMMGPOBSA-N,L-TYROSINE,182.0812,182.0762,182.0862,182.0813,8.44,9.15,8.75,
4,ZJTJUVIJVLLGSP-UHFFFAOYSA-N,LUMICHROME,243.0877,243.0827,243.0927,243.0880,1.25,1.55,1.42,
132,GUBGYTABKSRVRQ-QUYVBRFLSA-N,maltose (peak1),365.1054,365.1004,365.1104,365.1064,9.68,11.07,10.25,
93,FBPFZTCFMRRESA-KVTDHHQDSA-N,MANNITOL,205.0682,205.0632,205.0732,205.0684,7.94,8.47,8.18,
85,FFEARJCKVFRZRR-BYPYZUCNSA-N,methionine,150.0583,150.0533,150.0633,150.0585,7.62,8.42,7.84,
84,CHJJGSNFBQVOTG-UHFFFAOYSA-N,METHYLGUANIDINE,74.0713,74.0663,74.0763,74.0719,7.08,7.56,7.34,
38,JYVXNLLUYHCIIH-UHFFFAOYSA-N,MEVALOLACTONE,131.0703,131.0653,131.0753,131.0704,4.89,5.35,5.13,
5,HYVABZIGRDEKCD-UHFFFAOYSA-N,N6-(DELTA2-ISOPENTENYL)-ADENINE,204.1244,204.1194,204.1294,204.1243,1.35,1.61,1.45,
145,RFMMMVDNIPUKGG-YFKPBYRVSA-N,N-ACETYL-DL-GLUTAMIC ACID,190.071,190.066,190.076,190.0711,10.6,11.3,10.95,
96,JJIHLJJYMXLCOY-UHFFFAOYSA-N,N-ACETYL-DL-SERINE,148.0605,148.0555,148.0655,148.0605,7.98,8.74,8.41,
69,OVRNDRQMDRJTHS-ZTVVOAFPSA-N,N-ACETYL-D-MANNOSAMINE,244.0791,244.0741,244.0841,244.0795,6.31,6.71,6.55,
47,DZTHIGRZJZPRDV-GFCCVEGCSA-N,N-ACETYL-D-TRYPTOPHAN,247.1077,247.1027,247.1127,247.1079,5.42,6.03,5.65,
72,KTHDTJVBEPMMGL-VKHMYHEASA-N,N-ACETYL-L-ALANINE,132.0655,132.0605,132.0705,132.0656,7.19,7.52,7.35,
46,PWKSKIMOESPYIA-BYPYZUCNSA-N,N-ACETYL-L-CYSTEINE,164.0376,164.0326,164.0426,164.0377,4.74,5.81,5.36,
143,KLZGKIDSEJWEDW-UHFFFAOYSA-N,N-ACETYLPUTRESCINE,131.1179,131.1129,131.1229,131.1181,8.16,10.28,9.25,
163,VEYYWZRYIYDQJM-ZETCQYMHSA-N,NALPHA-ACETYL-L-LYSINE,189.1234,189.1184,189.1284,189.1235,11.22,11.8,11.60,
7,DFPAKSUCGFBDDF-UHFFFAOYSA-N,NICOTINAMIDE,123.0553,123.0503,123.0603,123.0555,1.4,1.65,1.45,
48,PVNIIMVLHYAWGP-UHFFFAOYSA-N,Nicotinic acid (Niacin),124.0393,124.0343,124.0443,124.0396,5.37,6.14,5.76,
141,HOKKHZGPKSLGJE-GSVOUGTGSA-N,N-METHYL-D-ASPARTIC ACID,148.0605,148.0555,148.0655,148.0604,10.73,11.78,11.37,
76,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,NORLEUCINE,132.1019,132.0969,132.1069,132.1021,6.78,7.16,7.02,
98,VZXPDPZARILFQX-BYPYZUCNSA-N,O-ACETYL-L-SERINE,148.0605,148.0555,148.0655,148.0605,7.95,8.83,8.41,
83,QHGUCRYDKWKLMG-QMMMGPOBSA-N,OCTOPAMINE,154.0863,154.0813,154.0913,154.0865,7.15,7.67,7.48,
149,GNISQJGXJIDKDJ-YFKPBYRVSA-N,O-SUCCINYL-L-HOMOSERINE,220.0816,220.0766,220.0866,220.0817,10.21,10.72,10.55,
52,BHHGXPLMPWCGHP-UHFFFAOYSA-N,PHENETHYLAMINE,122.0964,122.0914,122.1014,122.0967,5.19,6.1,5.69,
179,YHHSONZFOIEMCP-UHFFFAOYSA-O,PHOSPHOCHOLINE,184.0733,184.0683,184.0783,184.0734,16.25,17.05,16.72,
108,HXEACLLIILLPRG-YFKPBYRVSA-N,PIPECOLATE,130.0863,130.0813,130.0913,130.0865,8.21,8.89,8.54,
109,ONIBWKKTOPOVIA-BYPYZUCNSA-N,proline,116.0706,116.0656,116.0756,116.0710,8.65,9.5,8.92,
3,RADKZDMFGJYCBB-UHFFFAOYSA-N,PYRIDOXAL,168.0655,168.0605,168.0705,168.0657,1.47,2.02,1.65,
78,NHZMQXZHNVQTQA-UHFFFAOYSA-N,PYRIDOXAMINE,169.0972,169.0922,169.1022,169.0973,6.97,7.77,7.37,
17,LXNHXLLTXMVWPM-UHFFFAOYSA-N,PYRIDOXINE,170.0812,170.0762,170.0862,170.0813,1.58,2.48,1.94,
60,HEBKCHPVOIAQTA-NGQZWQHPSA-N,RIBITOL,175.0577,175.0527,175.0627,175.0583,6.03,6.86,6.53,
35,AUNGANRZJHBGPY-SCRDCRAPSA-N,RIBOFLAVIN,377.1456,377.1406,377.1506,377.1455,4.34,4.99,4.62,
135,ZJUKTBDSGOFHSH-WFMPWKQPSA-N,S-(5'-ADENOSYL)-L-HOMOCYSTEINE,385.1289,385.1239,385.1339,385.1298,9.96,10.59,10.27,
173,SUHOQUVVVLNYQR-MRVPVSSYSA-O,SN-GLYCERO-3-PHOSPHOCHOLINE,258.1101,258.1051,258.1151,258.1102,11.89,12.59,12.17,
171,AWUCVROLDVIAJX-GSVOUGTGSA-N,SN-GLYCEROL 3-PHOSPHATE,173.021,173.016,173.026,173.0212,11.51,12.77,12.06,
14,IQFYYKKMVGJFEH-XLPZGREQSA-N,THYMIDINE,243.0976,243.0926,243.1026,243.0978,1.73,2.14,1.92,
10,RWQNBRDOKXIBIV-UHFFFAOYSA-N,THYMINE,127.0502,127.0452,127.0552,127.0504,1.73,2.12,1.90,
104,WWNNZCOKKKDOPX-UHFFFAOYSA-O,TRIGONELLINE,138.055,138.05,138.06,138.0552,7.94,8.6,8.31,
15,ISAKRJDGNUQOIC-UHFFFAOYSA-N,URACIL,113.0346,113.0296,113.0396,113.0349,1.58,2.02,1.81,
25,LOIYMIARKYCTBW-OWOJBTEDSA-N,UROCANATE,139.0502,139.0452,139.0552,139.0503,2.45,3.27,2.77,
97,KZSNJWFQEVHDMF-BYPYZUCNSA-N,valine,118.0863,118.0813,118.0913,118.0866,7.98,8.64,8.18,
36,LRFVTYWOQMYALW-UHFFFAOYSA-N,XANTHINE,153.0407,153.0357,153.0457,153.0408,4.56,5.03,4.75,
102,UBORTCNDUKBEOP-UUOKFMHZSA-N,XANTHOSINE,285.083,285.078,285.088,285.0834,8.5,8.95,8.75,
59,HEBKCHPVOIAQTA-NGQZWQHPSA-N,XYLITOL,175.0577,175.0527,175.0627,175.0583,6.03,6.91,6.53,
165,BTCSSZJGUNDROE-UHFFFAOYSA-N,Y-Aminobutyric acid,104.0706,104.0656,104.0756,104.0711,11.39,12.12,11.75,
