"","1mem_Bt_12pt5hr-2","1mem_Bt_12pt5hr-3","1mem_Bt_12pt5hr-4","1mem_Bt_25hr-2","1mem_Bt_25hr-3","1mem_Bt_25hr-4","1mem_Bt_30hr-2","1mem_Bt_30hr-3","1mem_Bt_30hr-4","1mem_Bt_35hr-2","1mem_Bt_35hr-3","1mem_Bt_35hr-4","1mem_Bt_40hr-2","1mem_Bt_40hr-3","1mem_Bt_40hr-4","1mem_Bt_45hr-2","1mem_Bt_45hr-3","1mem_Cv_12pt5hr-2","1mem_Cv_12pt5hr-3","1mem_Cv_12pt5hr-4","1mem_Cv_25hr-2","1mem_Cv_25hr-3","1mem_Cv_25hr-4","1mem_Cv_30hr-1","1mem_Cv_30hr-2","1mem_Cv_30hr-3","1mem_Cv_30hr-4","1mem_Cv_35hr-1","1mem_Cv_35hr-2","1mem_Cv_35hr-3","1mem_Cv_35hr-4","1mem_Cv_40hr-2","1mem_Cv_40hr-3","1mem_Cv_40hr-4","1mem_Cv_45hr-2","1mem_Cv_45hr-3","1mem_Cv_45hr-4","1mem_Ps_12pt5hr-2","1mem_Ps_12pt5hr-3","1mem_Ps_25hr-2","1mem_Ps_25hr-3","1mem_Ps_25hr-4","1mem_Ps_30hr-2","1mem_Ps_30hr-3","1mem_Ps_30hr-4","1mem_Ps_35hr-2","1mem_Ps_35hr-3","1mem_Ps_35hr-4","1mem_Ps_40hr-2","1mem_Ps_40hr-3","1mem_Ps_40hr-4","1mem_Ps_45hr-2","1mem_Ps_45hr-3","1mem_Ps_45hr-4","ExControl-ExControl_2","ExControl-ExControl_3","ExControl-ExControl_4","ID","MZ","RT"
"55",29843.89338,9870.344292,14887.09975,63668.66921,5261.209336,54179.92718,27736.29389,2130.259184,13507.06648,18039.24387,8108.842022,17810.04606,136047.3295,22088.15128,23220.96044,50512.35947,15772.14215,5286756.611,2537922.183,3551274.277,71515086.28,35454896.91,107378501.7,29761847.21,125723210.3,15812856.27,124522175,91579869.46,144802936.9,39969004.93,179588553.7,161405899,30477263.88,225204921.9,234071829.3,26236660.6,250696792.7,9938.941305,18371.42493,32007.32348,4080.054982,13759.57089,17479.46256,1936.254646,11843.06562,26138.1995,16926.73504,11980.73482,4850.815722,5122.464534,5820.585518,7843.972863,5742.675233,3825.282571,467.3141712,720.7782172,644693.6425,70,153.0191022,2.606124684
"100",12766.85133,4027.884144,6310.761273,87270.12666,34745.95268,76248.62566,113576.3584,29782.67283,147771.2252,156447.7273,122693.7934,186736.9021,226226.2974,128996.191,239734.2795,229972.6506,271686.1894,2084918.809,1830121.506,1462466.656,10330768.93,5201517.199,10266615.88,14409834.07,14162915.49,1877529.487,14495870.8,20282764.72,12629085.36,3959415.863,15543408.63,12011184,2350158.068,15413770.22,21927884.4,2346772.315,13913737.67,0,1237.263826,3829.226743,0,7509.547715,3931.170135,0,20478.89053,9037.186014,10077.78815,6651.132404,1049.727068,544.4600068,25961.19169,16476.0905,3963.855916,7228.72193,0,0,45736.18606,146,216.1236537,3.091533402
"171",175816.087,88560.24731,279694.6955,499651.3372,152299.5667,373854.002,606979.3882,131082.49,462200.2186,632606.1648,532203.2038,424687.51,878933.0812,554959.6393,688236.4385,838550.9841,833434.812,1452847.476,772597.4,1008206.413,4721700.929,2049551.163,3817151.447,4563799.798,5388438.691,660641.1676,4602843.131,7485339.012,6027141.6,1258981.21,5152063.102,5530864.226,912134.4386,5583966.368,9090169.734,769250.7702,5606607.175,44899.39859,16750.44303,129328.3076,4097.986892,170738.3609,153337.8317,22442.03822,166870.9337,129296.0708,86796.26206,145018.8094,45114.44882,1019.233603,186074.4815,129742.9143,58970.8299,66690.58766,624.3739505,780.6791795,13038.02809,265,137.0241514,2.310495588
"252",1878414.483,1395658.785,3698741.022,7071788.862,2295877.483,11922833.39,10479504.5,1525380.251,13069776.62,7481671.536,5430449.922,10645800.36,13628607.38,8762955.511,14983741.52,8862792.315,10130125.57,869057.2187,711991.2427,1553299.445,1150508.714,807974.3002,4283774.406,1320967.966,1639865.089,212799.2597,2410517.665,1129551.716,1557389.124,250331.4045,1235428.912,630755.1901,157630.4351,997665.4269,1250899.41,91490.62441,1135548.579,37732.80041,83279.6857,1279245.887,353896.578,3726517.497,2507419.621,665463.1839,4517468.497,2088205.74,1925754.158,4591027.481,708380.6744,353511.1009,7628415.913,4692162.06,1264384.23,4864488.978,471.4588825,1098.316802,1627.89121,385,175.0608907,2.483000628
"312",8164.898733,1358.094043,2653.690456,101518.7843,4190.116812,56706.55444,98104.70371,2158.064578,75445.67039,73908.01809,31124.73826,53108.60404,140780.7519,36783.63947,72988.42103,115846.6133,98436.54658,587201.7542,338071.8261,533103.0052,2754420.567,1267095.854,2867196.549,4252772.727,3972743.973,497726.6555,4029771.508,6871216.528,4671143.044,1302918.198,5409688.125,5088363.53,970642.945,6163214.957,9502050.111,872553.6065,6366019.475,6592.987187,12200.8119,190458.4714,17470.73178,123221.6776,243143.2954,65434.19867,233101.6396,358009.419,245899.0602,178728.4729,126901.7389,13381.5113,318662.3409,327483.3379,186394.7386,179328.5668,296.2884563,0,7107.542985,480,222.0767937,2.395262636
"654",106091.7174,61117.45204,170445.168,339280.2753,93128.97842,716902.8928,369036.7308,83504.65692,1122704.906,202790.4608,168723.9201,1517286.449,534708.854,244448.4012,1784352.314,293776.6438,312459.4272,207308.2951,108780.0107,365830.5198,1056917.629,394691.5085,1805451.339,2768823.459,1370936.465,146015.9807,958336.3749,3125576.129,710013.1957,172260.9331,975015.8829,1043959.586,180334.7328,1062726.345,926415.422,120190.8496,716960.802,1755308.768,2360510.84,5551639.307,2516251.008,9901677.143,6415194.759,4082912.894,14377438.98,11839444.05,13352505.41,11342824.77,8340583.319,2908673.83,21503321,22149643.75,9902438.581,13108866,0,689.5625141,1314.265044,1041,218.1029423,2.159108094
"775",206760.6109,75300.26093,262634.8831,397586.4416,92699.63841,497127.0128,413985.2076,83419.31386,544482.2046,468557.3502,286166.0476,705675.4847,563985.0038,329099.6136,1166185.138,497257.0471,531032.5487,79110.59854,27370.71166,122010.8394,79245.12352,9355.112957,359603.3096,171473.6746,88100.51765,4275.913159,200666.7961,207936.6331,79597.62462,16269.69228,153851.7216,74910.21693,2644.04974,184625.3344,112362.03,2215.931785,34605.75986,500313.0589,295537.5741,17614339.04,1759201.623,8943967.533,22354551.46,4665873.574,15568737.67,25252882.42,11454100.77,10004503.88,4554489.129,1276997.368,13824134.25,18773863.46,5319261.282,7733237.518,745.6636534,597.4311302,815.534708,1266,137.0241465,3.482855742
"1067",1023.425704,0,1019.604157,1279.529972,755.5968108,1479.245688,1234.370689,0,1375.750312,885.6570311,1040.105885,1365.774773,1468.73835,1150.255045,992.2374404,4107.472869,2738.170647,42101.85928,15511.76683,22406.52735,829576.776,279519.9107,822191.4259,136772.0539,1112378.908,146867.3155,1163610.999,324304.0355,1325250.291,408502.5458,1237658.239,1326428.129,403941.3603,1859367.442,2348831.202,199471.3282,2052679.562,733.6954708,824.0217794,1726.380669,0,0,1394.663774,0,938.3417462,1346.715904,1204.43277,929.4305883,0,0,0,1000.338527,0,0,817.0179668,0,642.8405413,2243,169.0139472,2.546833795
"1661",0,0,1235.870639,0,0,5183.364525,0,0,6654.332688,2200.572065,1198.460525,3823.262973,3957.29483,1420.611575,6578.387441,7284.337328,2514.16898,0,0,0,1077.273966,0,1301.207701,0,0,460.7680829,0,0,0,0,0,0,0,0,0,0,0,130848.0785,43209.80263,727965.3572,135943.4106,177917.4959,415027.876,207043.3157,533027.9661,1496902.26,688357.7601,653798.6435,701767.2237,67991.47481,656500.196,1789132.183,482711.2513,743255.9552,0,0,0,4345,367.9441404,2.010921407
"2318",886462.3665,521278.6601,851549.9988,2200089.612,627916.1584,1720777.118,2633452.998,522391.2221,2178486.564,2979783.783,1850809.909,2507098.362,4272300.69,2975859.317,3999991.676,4495224.509,4100564.495,0,0,0,0,0,0,819.1629893,0,0,0,0,0,1208.937622,0,0,0,0,0,0,0,0,0,0,0,229343.6979,0,0,303569.0972,0,0,322295.1007,0,0,449300.8458,0,0,89605.95799,863.6138874,0,918.7996061,7021,182.9617166,2.710275837
"2367",517267.0588,67272.20059,121137.6327,2619367.507,346891.5303,157569.4678,2210613.077,547225.834,325747.6248,6693463.678,955362.4518,313407.4593,5927249.74,1481516.801,390671.8649,2499862.39,2251341.631,9485.239003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3952798,0,0,0,0,0,1300.91423,0,0,2628.4456,834.8527325,0,3126.17509,0,2976.273471,5410.040332,17485.24943,0,20335.81213,0,978.3314495,0,0,1083.876613,0,7080,314.1757765,6.513710613
"2392",492700.302,349710.6398,404431.1862,1016672.048,341939.3258,817744.4082,1019254.517,276456.069,914147.0396,912675.2293,736055.7894,849003.959,1053862.433,960063.7738,1000771.355,1021402.752,1225826.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185643.6339,0,0,202674.7618,0,0,196713.0428,0,0,228289.5637,0,0,50530.11237,0,0,0,7109,502.9881052,2.580061495
"3183",143455.7776,39280.00756,165245.7148,318895.6762,63490.63199,319876.342,385194.5933,96366.0091,440139.8934,475171.0081,338588.8972,560144.4152,585127.0106,527958.6698,759023.6168,669452.1337,842312.7752,0,0,0,4196.230606,4875.911215,2227.085891,16949.33894,25118.03491,0,23308.13038,49112.88117,27730.29681,4027.901233,38277.47547,13232.112,2234.866174,38774.12187,55852.04798,686.4650686,29939.25674,1118.646849,0,0,0,14947.97975,0,0,56569.47101,0,0,61952.57829,0,0,87692.13101,0,0,7633.778673,0,0,0,10992,258.1706041,4.438657267
"3615",129874.7598,74295.65507,122640.1364,523663.5791,143629.7688,620844.4518,471111.6644,107156.5449,834087.6006,492196.1704,407068.3385,1068885.045,741554.2796,632376.0073,1409382.069,777308.4601,1244820.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444.044983,0,65827.76661,1467.449904,0,83065.35332,0,0,88023.11557,0,0,127121.2327,0,0,15309.64701,0,0,0,13340,423.0257615,2.779664939
"3941",15077.42159,1946.228548,15735.11599,79958.97185,11335.92962,64489.60622,84322.15017,6850.706678,90702.75934,115096.8586,47722.55738,113783.8598,135512.2992,70741.97817,145260.8021,109432.4801,94346.0109,0,0,0,0,0,1395.727282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803.005166,0,0,0,0,0,1633.800143,0,0,0,0,0,0,14621,320.1781025,5.999268686
"14",26760454.21,14705199.1,30303471.55,26300820.06,9871426.951,27477485.05,28315890.21,7435373.876,27903879.34,28220071.28,19721367.76,27932246.02,29161274.62,21743756.62,27760284.43,27458403.84,26148365.3,28938474.77,17315705.19,26165871.04,29661066.11,14992596.4,31196195.47,41638160.18,27033280.39,4832617.645,29973460.33,48934358.04,21757148.45,6712817.33,27827572.52,15103539.15,3470470.623,25530608.11,27266684.01,3252981.915,19579165.16,20539106.01,26849226.33,28885876.19,8278626.41,29560735.18,29995878.69,10366453.73,27516055.14,26846874.44,24101806.01,27238462.47,12939462.69,4191446.719,28964389.68,29856007.24,12027157.87,18505543.28,31392825.7,26548818.04,27293479.14,14,227.9662129,4.707663195
