"ID","MZ","RT","1mem_Cv_12pt5hr-2","1mem_Bt_12pt5hr-2","1mem_Bt_30hr-2","1mem_Bt_25hr-2","1mem_Bt_35hr-2","1mem_Bt_45hr-2","1mem_Cv_30hr-2","1mem_Cv_25hr-2","1mem_Bt_40hr-2","1mem_Cv_35hr-2","1mem_Cv_40hr-2","1mem_Cv_45hr-2","1mem_Ps_25hr-2","1mem_Ps_12pt5hr-2","1mem_Ps_35hr-2","1mem_Ps_30hr-2","1mem_Ps_40hr-2","1mem_Ps_45hr-2","1mem_Bt_12pt5hr-3","1mem_Cv_12pt5hr-3","1mem_Cv_25hr-3","ExControl-ExControl_3","ExControl-ExControl_4","1mem_Bt_30hr-3","ExControl-ExControl_2","1mem_Cv_45hr-3","1mem_Bt_25hr-3","1mem_Cv_35hr-3","1mem_Cv_40hr-3","1mem_Cv_30hr-3","1mem_Bt_35hr-3","1mem_Ps_12pt5hr-3","1mem_Bt_45hr-3","1mem_Bt_12pt5hr-4","1mem_Ps_25hr-4","1mem_Ps_25hr-3","1mem_Bt_40hr-3","1mem_Ps_45hr-3","1mem_Ps_30hr-3","1mem_Ps_35hr-3","1mem_Ps_40hr-3","1mem_Cv_30hr-4","1mem_Cv_40hr-4","1mem_Bt_12pt5hr-1","1mem_Bt_25hr-1","1mem_Bt_35hr-4","1mem_Bt_35hr-1","1mem_Bt_30hr-1","1mem_Cv_12pt5hr-4","1mem_Bt_25hr-4","1mem_Cv_35hr-4","ExControl-ExControl_1","1mem_Ps_12pt5hr-4","1mem_Cv_12pt5hr-1","1mem_Cv_25hr-1","1mem_Ps_12pt5hr-1","1mem_Bt_30hr-4","1mem_Ps_35hr-4","1mem_Ps_30hr-4","1mem_Cv_25hr-4","1mem_Ps_40hr-4","1mem_Bt_45hr-1","1mem_Cv_30hr-1","1mem_Ps_25hr-1","1mem_Cv_45hr-1","1mem_Ps_45hr-4","1mem_Bt_40hr-4","1mem_Cv_40hr-1","1mem_Cv_35hr-1","1mem_Ps_35hr-1","1mem_Bt_40hr-1","1mem_Cv_45hr-4","1mem_Ps_40hr-1","1mem_Ps_30hr-1","1mem_Ps_45hr-1"
32,112.0509056,5.043217752,502114293.3,2471202.569,4150710.438,5596388.41,3390465.016,4822715.176,1946421177,1686144160,5889493.316,2297512052,2558217040,3092490447,209710812.9,136232657.3,326914933.7,366544698.2,231345201.9,512173903.5,2456284.303,422058946.4,2060208262,6607554.668,1600374.418,4623182.542,11722260.13,2341110076,5060499.987,1839175885,1838983590,1954861850,7866282.375,59387747.18,7346229.658,2694912.337,336619995.1,366125951.2,8099193.044,802375126.3,452585560.2,705397847,662136464,2817714688,2705035219,917267.0697,1232860.998,2698373.731,1135983.375,1529917.559,258427190.9,2991025.445,1003945683,41192.95473,21085652.55,84737832.21,704828443,29898468,5202552.637,171296697.5,223195103.9,1480053712,284538407.2,2454578.471,1521317034,91133387.91,1326814843,340250161.5,5470902.057,1477252530,1919586578,258123811.3,2865680.475,2844002906,298360379.5,185284241.8,233675494.5
60,104.0710915,11.69328789,243884371.3,2667465.828,4105957.253,6348507.149,2871065.326,2420542.891,377588412.6,446052750,7080957.667,441814183.4,423512032.7,70643671.01,42067236.69,13905514.37,47650983.02,110339593.5,13247984.59,42365119.69,2484211.215,167765030.6,423794672.7,1853879.355,2055074.341,5130647.846,5789801.081,406366828.4,4688512.496,390152195.5,446552695.4,428251433.7,6915349.45,9145736.884,6791118.123,8864438.743,53064230.96,71638442.66,9037850.264,73618775.14,114142736.3,104827515.6,60200196.96,106014521.8,293102961.8,7126643.491,2585009.687,2438844.176,10148842.31,3033510.797,118762776.7,4332431.255,169220294.5,6596367.878,4940080.8,62114620.68,174519740,3580521.412,4889831.937,38948652.38,75988816.03,331545307.3,33552179.19,2891464.651,366323725.2,51027522.76,273839505.9,37324232.82,6603937.012,365805661.2,469604032,55585019.55,4945498.651,522151097.1,47476118.9,74182333.8,35923269.82
66,118.0865852,8.166599305,459247031.6,387919312,374734172.6,378588132.8,844608889.8,338585342.3,325850435.8,355135333.4,462268670.4,1012183325,349896335.4,1174370592,1145204798,317393575.7,435048246,650143994.5,399124193.4,432872278,1335121094,1344001006,417814515,1264131930,1213538854,1324993755,880776257,1047399886,571424795.8,1000137289,1170002479,1103345920,388707755.7,727095821.3,397191650.6,1660095342,1650803699,415677133.1,277394553.3,1155032531,560270445.2,1424106438,596210156.3,1681288939,1846146414,713207585.8,2161076831,1031993762,1720352215,2151282375,3545136852,3960521279,2675153552,9619749703,3757706098,2941233163,1599116825,3758535706,3343077505,3826566281,2899443564,2880899099,3020076426,3001341747,2656235456,2601367535,1108711967,3635401128,530090440.5,2992949154,3287804887,3786861020,2197015195,3359280270,3493399089,2214053352,3483145714
169,298.097296,1.759673248,41375860.8,23262317.69,33638145.79,38704358.94,89696793.91,109942033.8,145681751.5,143959495,127225095.5,178845212.1,207975607,270645031.7,32649846.9,47736139.51,25483490.3,44983120.59,17137440.07,4211869.499,55413964.4,47708065.35,158251066,26585.57731,21219.71906,679194.4714,13562.38445,234249678.3,64530928.73,186428800.7,273058931.9,181382127.2,123222064.6,30105786.07,151157744.6,48075054.87,34316585.32,27380378.71,142618779,7097380.108,38501642.24,26768286.81,9408199.418,206348998.5,215066810.1,36265113.55,40055318.98,45815084.22,459293.1678,42773083.01,30882256.6,70346802.38,52727145.56,12466.29096,20335577.44,17277230.19,43913711.49,20118415.29,1146375.932,5329479.204,13589712.07,101566294.1,803629.6021,41610642.43,92556150.34,10280584.17,90338738.29,1136920.111,122783636.2,109208956.5,125442596.7,445844.6358,85487668.9,176400097.9,2753315.229,545254.7069,2227188.673
232,365.1064331,10.25238878,93112617.15,88392606.5,49851567.57,105422649.2,40483475.65,56112896.06,43446169.75,53574911.66,11291522.07,33877919.22,36818811.68,9111458.006,21350516.59,82169793.13,18085557.2,47038824.78,41805917.25,107299104.6,43591232.61,30360003.64,9992795.747,10834498.15,3932605.498,64929310.51,22804464.49,6374573.979,79149264.6,9956504.831,5162625.09,43808605.88,15010265.65,82617819.81,4650173.597,32629497.21,12388618.24,4806373.624,83410551.72,17732627.46,17902445.91,23107974.24,39412305.07,25846043.86,18243055.4,3056226.257,910502.7285,3249686.817,2688988.597,3130710.574,255950.9942,2478515.232,2970191.324,7056518.046,2462615.161,3087740.836,916046.7103,3222722.464,23216039.92,15618212.46,13578274.82,4021426.144,3644732.466,2085888.763,2454514.552,4948954.508,873653.2619,8882719.782,3161343.907,522275.137,323758.2038,2210595.963,462759.4701,5069986.773,753572.3525,7747311.17,5278472.095
328,146.0924619,10.91866593,24507885.25,17975311.05,28779695.58,35549300.8,22985617.12,16071271.16,34300700.4,38192591.85,28820462.92,41777241.35,42964415.26,67110574.66,38442237.54,11836850.89,74617551.28,86816946.66,85637247.51,116162292.1,7771327.256,16315771.08,31167896.43,3945627.923,2823659.149,11524838.91,4822316.726,34549041.91,12811603.28,25174660.79,79709319.06,30659531.52,18176059.35,10688729.56,20107417.64,9512345.475,41050471.89,46987097.97,24334396.81,184762390.3,108583451,128820168.9,154742178.9,49089387.9,49036163.71,5888654.831,6755282.843,4910960.082,5941151.977,7936447.522,11388540.93,7114259.282,9586577.449,4093336.197,9097384.964,6315224.039,11336910.16,5345508.02,9216277.92,21398953.74,29953917.57,19338232.96,23538558.32,8027917.324,24375862.21,17643790.07,16317141.34,29469810.05,10420159.57,18660083.84,25204054.83,39069399.29,11686162.59,45197973.14,56672938.35,34551954.65,39128425.55
402,104.107455,7.817450503,13731183.92,4591394.718,7424442.204,3072085.538,4847903.941,1913195.181,14975898.23,15763252.57,2803004.584,18403818.99,18167762.75,24025680.74,6833565.018,8248600.279,13810979.65,3313330.893,2697877.558,3289813.749,4942306.043,11485209.9,16236551.53,4397188.658,5433564.41,4635251.862,13012363.89,14095637.38,3571276.972,12630739.88,14642846.54,14940351.61,5912017.605,7815862.716,3385974.407,5254569.778,5976642.116,5862084.768,2952262.889,6015219.632,6365246.628,6547727.929,4691864.758,34110292.51,32463968.01,2169321.798,2746525.132,6048312.501,3648799.118,2860733.451,9659123.616,3520672.022,9858698.528,5871776.428,3472748.366,3870504.671,5954471.783,7288318.558,4840568.19,7607555.601,9567442.094,20622826.46,7051258.154,2348126.539,17865189.65,6041525.178,7411836.229,4758087.69,5328833.261,9969801.609,16941991.73,4301968.654,3133620.32,42634143.9,3846515.134,3221650.629,3862485.082
490,130.0500768,8.636222152,9712092.397,1446172.524,832430.9342,1156166.451,654329.0518,1419325.217,13454012.59,22614023.87,3196500.61,50895121.77,54911425.8,68695022.78,17262940.58,3388608.707,18357874.07,49930865.33,10898065.17,66134886.66,1132193.653,2280526.335,40825050.42,3474.735438,1795.730094,1212865.183,2654.215524,18349297.24,910937.6286,2832271.839,4923363.127,4456178.355,2574374.223,864212.9644,3238996.33,2135127.184,24066822.55,1671335.317,2315595.832,35502955.64,44191397.77,37611627.97,15536547.59,66719223.08,72743535.35,2724.102667,487317.0812,470601.4447,249085.4088,366352.432,1064445.966,655411.2666,1469384.616,0,856881.6057,91952.2691,1805004.385,5803.599431,99408.63671,2438089.135,3842155.854,13484911.9,3734124.403,537778.4409,632483.7949,4873243.393,1525806.267,2405289.448,1482949.73,1432682.542,553974.3329,1418277.512,820981.8271,3668699.015,2234672.393,8003938.403,1486414.537
539,168.0657085,1.671879616,12778049.79,19639653.39,16889246.25,20025810.79,12253248.98,10410638.54,30813399.98,31930336.64,31687394,33319492.65,38462861.76,48482788.2,3422415.146,1973617.454,6707924.693,10971673.38,6232212.044,5280731.634,5851416.374,3885942.089,23712056.43,1221421.268,37688.48516,8565778.92,182380.6334,19438281.18,7144143.761,24254988.87,14611978.93,16824680.05,7062327.414,1960131.386,6915404.419,17418544.04,11244708.3,2365734.769,8571798.667,2819706.391,4105699.934,4435806.582,4766083.983,53495515.68,44547418.94,1021356.921,1610281.449,1018781.823,705809.9553,1899056.599,962740.1871,3241887.818,3107292.143,9921.583223,46273.03257,355177.4261,2825898.813,58256.41796,3148720.519,1671081.235,2084857.438,7168214.943,1411020.735,1045954.366,4816982.015,144263.481,2424584.522,1825093.107,4290008.381,2818271.278,5029116.995,1111724.945,2308912.142,12358705.74,1226440.12,710993.6848,144342.9503
544,180.0866765,11.39980967,16243740.14,22466245.99,16593145.89,22635216.94,15026097.85,14579134.62,31561115.45,40668216.65,11367504.58,40011297.73,14695989.57,11389663.64,17817974.38,48714348.79,16560075.03,14200035.2,3119731.857,17640162.37,48247847.05,23934655.52,50575088.71,19945.36052,26371.75631,46499950.78,306720.5325,3893496.045,41329164.69,14197883.71,3542225.841,60086782.51,34950035.08,37323991.18,27269960.22,30385585.51,18124998.51,36989800.3,89846964.74,28466372.11,28433670.92,19041123.35,30729485.31,36015637.12,18902783.11,24111674.33,18698223.97,11858571.1,11960752.81,17965693.98,19223946.71,24630198.79,11697652.46,47990.50513,12501619.82,7733005.243,21020019.46,11866758.23,29021847.48,11952434.86,14793570.13,47591892.28,12847933.94,8788586.013,22727427.22,14748848.42,1063780.243,15260404.5,27635170.7,7963052.721,14094389.91,10919570.72,15315886.47,17871558.79,15004463.38,34955920.92,5658500.624
604,150.0775862,2.357589256,14775677.72,44794584.11,86283584.77,97909468.86,98189251.07,121798609.1,17008617.57,22401284.03,188665385,20691542.99,21587539.14,30943802.71,11626287.67,11743027.28,14714920.16,32336265.25,27980810.03,28442488.39,27951977.9,9081997.277,20335424.15,1799840.022,1997736.805,70647878.08,1477562.373,16810549.92,63593675.48,13448842.53,22486065.33,16328022.76,114265736.5,7332150.661,147259018.1,37064563.62,22291507.28,11116624.49,158210365.7,24019289.78,17337585.32,16478156.79,19629407.16,23095084.83,21386099.33,15626798.76,31752718.75,34577094.22,21858222.66,39297190.64,6136339.799,60021512.68,4238413.784,784773.267,3876548.036,3092787.22,8864741.461,3273835.549,70170436.3,19569173.83,20236380.77,10522746.82,15777226.45,33006474.82,16483482.61,9765582.183,14751848.59,27530806.38,133101763.2,17392914.44,20356384.64,16094649.26,68039481.82,16360393.21,21555171.72,21463113.59,17710733.64
667,106.086706,10.05649596,23231491.65,31083057.53,23802598.69,56962079.08,25110779.04,30511764.05,25723584.55,19219134.1,38581652.33,27276572.3,20035555.93,41325162.43,32487819.3,24187733.68,40110658.98,72148330.04,47081400,68516018.98,18585646.2,16556966.54,34368870.35,2413108.946,2823696.236,23330438.55,9549424.037,15719971.62,25166039.93,18060657.09,15429402.09,19690195.66,54589066.55,15098146.82,30648793.45,32474187.34,38837956.44,12342208.77,39178125.39,20321271.08,26425616.78,18658732.87,25480460.6,105948243.4,66863554.05,11048253.24,11360499.77,15720849.56,7861883.975,14679792.86,14723550.84,31523874.2,19787697.61,1088711.07,32302614.34,2228734.768,8343315.808,4662994.403,40863309.85,20340719.53,36200121.56,21301484.95,39008257.14,13022355.99,20831568.41,12205419.47,10580766.12,110919440.8,48204529.88,15788776.6,30279493.16,20485909.24,22231624.25,362633054.8,29104273.35,18390421.91,18724765.25
734,139.0502533,2.771350048,12683718.36,5490896.976,5046846.007,4477684.682,3716927.922,3187823.413,22691320.04,29663506.87,5660474.062,25104593.24,32034923.37,68243519.22,15528900.58,11789877.99,15974938.75,24328573.3,18948824.18,28305028.28,3165079.541,11749954.07,51272500.4,2301892.138,1676145.639,4211953.087,2638813.202,32924518.28,7201244.391,20165448.88,28844195.11,33949475.97,5523870.748,8088058.514,7484997.362,8934170.721,11840149.99,11339293.05,7636048.712,30836108.86,23463182.83,18298626.92,22277315.5,20705333.41,17337301.59,3137607.263,65938703.4,3180207.654,1844129.799,3790881.542,10492716.79,5219766.874,5648748.953,3500069.19,9687085.088,2618246.36,5825487.979,3668136.903,5332323.42,1516462.24,14037311.14,11160649.67,11562535.83,3383429.58,9836637.84,2488659.298,9684526.569,15021935.52,6096791.559,8749400.29,8663571,5761096.974,10482079.7,21091188.07,8613003.849,9880307.453,6936580.827
762,189.1234702,11.6304377,7288849.467,1232844.246,2030566.603,3739160.067,1553292.716,1614341.382,22903500.62,23665493.56,3742892.641,32423025.69,29710325.2,33813217.03,18529879.15,4727129.896,1002339.138,1505043.482,32344435.2,1783181.108,2190872.938,5662378.503,19167937.38,2783030.051,649211.5995,5023061.872,1340243.442,31841153.77,3804039.829,32235460.22,38327928.72,36374473.61,3227709.136,6238500.016,3262406.327,2639601.761,2485116.086,992302.8323,4615630.741,1664858.239,24253228.68,10999695.46,2501848.964,54805226.39,52350676.64,586057.5186,1684566.203,2600389.239,4955668.448,651386.5293,3978288.542,529647.8556,8190783.369,562615.2383,3798016.805,3725236.715,7759857.042,2287898.947,2979970.825,16428547.15,18620930.95,15666042.48,1230458.429,1033975.304,15931140.31,14541004.74,14282912.72,1689508.505,2664388.517,21315646.7,20530206.35,30753217.95,3066748.627,13722071.68,34753928.99,29873794.87,32460159.8
783,162.0760926,11.40005923,12798105.93,17906986.18,10838114.83,13475812.05,12343545.66,12610435.35,20403354.9,27970872.82,11053121.28,24672598.34,10582742.47,5148122.869,12616921.89,29560179.56,8382601.101,10753595.53,1920582.859,9262697.129,28818473.13,14064884.06,51666681.45,628137.9049,961246.4087,19329896.43,227394.22,2163831.078,25351752.97,10474736.12,1419083.895,40249615.45,19389848.13,25423983.02,8119036.317,34297926,5377424.463,22702878.8,60065580.17,26269853.12,26001193.81,16072382.5,16590786.08,50128945.53,29751866.67,11684635.51,28559422.01,7465141.73,5675483.357,10990361.38,10291259.45,43564381.45,6795085.773,730674.0172,8399740.852,8714112.784,15015389.05,3845634.34,14749807.4,8447571.123,8782086.159,51701185.05,9343807.897,1044356.564,14450357.61,11988154.85,2095106.471,10241985.6,46712325.38,11250276.73,34299578.84,13574881.83,26349526.87,50614403.52,8168501.038,34347710.34,4492039.214
858,130.0864501,8.597843742,6442088.279,5109900.147,10661471.23,12136725.67,9410802.187,16893342.39,9028138.045,11082812.3,26972856.71,17208589.21,16409710.61,17238745.2,12244254.57,1760446.949,31010917.55,39936104.25,2395342.656,58573117.1,4166728.007,5682024.752,20247277.4,20550.23821,46164.90869,14673328.24,93511.93648,6823117.865,9716217.574,3413642.852,2214548.75,5328416.387,34248002.39,97789.56085,44697911.11,7612282.347,25606429.4,5128228.611,969467.2111,30106421.28,33809470.27,30718981.89,8567527.582,28384548.21,22609633.22,212132.637,5780312.865,6244151.067,3296080.37,6366169.068,2657531.225,8149077.532,1495612.67,29166.78042,942589.7081,387626.603,3741770.151,367595.2916,5549864.243,9623625.614,17154242.82,10536335.52,20151365.87,8727380.613,3127532.508,2081478.272,1831039.775,10577874.85,22896498.6,2695676.769,3442419.991,3316626.312,18360377.28,4185471.074,1820126.662,3565015.955,6498718.828
1083,268.10413,3.658089291,4955252.195,1359773.526,2035681.896,1440748.742,2531827.417,2227018.688,45896848.32,28957942.07,3906676.281,62760477.32,26996.74269,71538825.79,2723328.309,3070112.686,3647193.01,3858049.979,3590851.109,4172827.515,237968.3475,3921157.352,28083229.69,469744.1731,17164.72549,927121.7625,313024.6896,45603792.36,885095.3554,53433970.45,168588448,54051345.19,883722.8591,1938161.627,2983661.403,304812.7627,5551018.258,1973244.328,2203566.124,3359106.604,2609334.9,3013309.355,4499016.363,44018874.07,35040145.24,271788.5432,433639.8943,1313420.312,564897.0889,745524.8516,2371166.802,356422.5323,8555270.163,25326.19167,1437878.733,1123222.786,3295952.384,751020.0259,2115276.317,4031368.433,8980167.809,16701308.56,4422964.196,229861.3688,7803757.147,1676883.476,3878471.484,3637445.568,1118861.614,9152196.587,12655386.04,3513376.573,788510.866,19020568.12,4304656.959,2757722.617,6614904.341
1095,136.0619017,2.867709029,5817218.935,176213371.6,422659813.5,416397581.4,480396814.4,427467102.3,66281805.86,40466555.67,866259789.5,165647135.3,234181556.6,452039682.1,75965592.45,65917790.17,114352855.6,170154753.2,184513620.8,129142503.8,104786925.9,4262767.014,37250821.28,4834184.677,586283.3763,272766301.3,1399250.818,274822620.4,212060237.4,120526193.4,936119703.2,58985582.38,402487406.3,43257945.65,476252769.4,125836192.8,61829335.33,51067574.74,473826409.5,105244931.6,111360356,101740029.9,74536718.67,241613149.4,449223549.3,56832307.03,121268340.8,121469225.7,79903948.18,147889058.5,4043521.478,203953970.4,53205452.08,635703.5073,28267171.5,1557020.99,12010573.02,18655049.73,287575268.5,74404402.55,109290414.2,31381529.13,52603123.22,155564358.6,61557868.42,44608650.73,96362011.19,98894625.79,363736693,109206515.3,117624445.3,66229247.16,328254761.2,527106345.1,94177412.74,81282444.13,66681421.25
1236,204.1243375,1.429678459,1766455.163,637944.7037,1130495.003,994886.8271,1398112.242,1349721.772,7889513.872,6442841.32,1375843.389,11130639.24,13596989.31,19045229.78,2845199.944,895182.7946,5613641.039,6409219.332,7659569.243,9707415.399,701676.334,1639977.933,6468890.347,134560.7126,192848.8962,936439.3617,15891.74298,14549721.21,883271.5394,8646502.978,13541714.26,7249695.66,1608226.119,1024918.361,7710732.068,998561.0813,5074584.649,2929673.223,1986520.764,12886883.64,6937378.434,8441382.478,9003335.32,11819712.01,16195896.03,663922.3342,384168.3729,1387989.429,856764.4882,1204847.763,1270617.534,1168173.29,2497430.006,152709.6152,566827.4192,640913.0282,1181212.875,315016.6402,3478052.096,4763863.951,4573826.972,3221465.069,4792758.711,1313591.801,2369957.57,1609316.231,3613227.145,7828838.69,4591284.435,4126255.525,3991871.722,2864322.453,2526156.855,14258256.07,4396195.691,3696329.104,4982102.823
1660,104.0710852,10.0882877,4675282.142,7276788.133,13122763.08,22462912.76,8847003.962,8009193.557,3040375.038,4119493.184,22679980.55,3540340.132,2934080.803,10211544.09,4239495.044,3677120.639,3578670.354,6386647.518,4150318.227,4705544.685,7374571.205,5433850.037,3781093.785,4895738.617,3301987.531,23030580.83,9323519.31,5778738.41,17501330.51,5437418.891,3999834.772,4974189.5,19620692.49,6707950.459,17481471.01,10326634.68,5333125.371,5156703.302,29431293.67,4436217.858,5050254.811,4729654.891,6304091.156,4332187.327,5025094.97,7126643.491,11478213.02,10131558.25,9831143.091,12923513.1,5961680.067,10722115.48,5355141.944,5977054.343,4959515.276,5505071.341,6046821.069,6278783.519,12052726.27,4947425.796,7552776.916,4950683.872,4492973.564,10321489.46,4810626.101,6912046.391,6300883.048,6956626.055,14866752.68,6757723.38,6930555.441,8452499.946,12430372.07,6545134.693,6159553.942,6550734.723,7130086.259
1803,190.0710898,10.94137637,1864139.33,798381.7726,953336.1588,1478552.897,901899.4611,1210452.562,5331164.123,5959770.64,1986884.683,6803118.459,5454208.253,8603470.98,1067311.741,781287.7932,1595146.444,2158750.588,2338606.864,3468486.901,1364874.059,1117140.615,3549498.731,125573.0969,2330.306783,3407903.268,14544.97723,12168436.99,2908897.746,8292698.397,9768323.155,11376515.13,1717016.93,531792.4351,1772304.668,1306136.625,1588895.916,2772584.107,6726325.672,3120115.272,2377171.622,2520308.938,9904799.193,8821857.184,5134841.548,145480.5435,296440.2648,261595.8454,282136.6907,403339.2389,399323.1072,321300.572,638914.3142,2182.898833,16042.73475,211694.7316,1193584.184,51178.15815,701518.7636,447575.5704,1234837.52,1749636.985,628715.6253,368193.3359,1750458.103,483789.3158,2167186.838,1125137.636,904830.2076,2733122.148,2574191.004,556147.2492,594492.2377,3454553.678,816734.5067,739989.0756,751471.8939
2162,143.0816508,9.708737842,2177068.759,29737590.52,53057943.63,76843967.96,46388789.22,40893947.86,2016588.047,2373552.652,81579225.32,2363649.729,2161675.278,4166346.463,1280034.897,2405350.799,3500111.62,2755518.53,1520219.311,2569855.222,18870195.35,1377656.206,2070894.267,37947.76627,18801.59714,45341296.75,47120.56532,1799073.107,46571723.96,1510297.802,1575606.016,1817820.622,58815563.27,1495698.454,52286745.09,26550239.5,1993399.771,1194860.37,76588287.05,2303970.209,2498446.944,2167614.036,2204286.132,2612641.164,2137348.497,6202820.092,18214407.76,5426151.421,10547069.38,21855188.07,1009533.574,9373119.647,440965.6694,45534.46434,770594.662,155950.4371,167593.1145,415765.6432,14925642.61,891458.9151,1756554.256,879013.3556,1220894.476,14560155.73,550668.0063,744926.5758,671429.2183,1400299.628,15298933.62,725004.7118,912670.3103,1140934.991,31755855.53,1729163.396,1350111.125,1135478.022,2062017.244
2198,215.1392043,4.360237647,2656548.029,294301.4091,445685.4899,544187.9968,759963.9409,531289.9032,14485961.91,11665151.46,806831.5239,25828082.53,29896607.58,30157594.12,85548505.41,33382368.37,113298041.6,117546092.2,105146622.8,127930448.4,916233.3691,3616179.608,22111212.06,18885.10718,139343.576,789197.9597,9206.092031,47637183.11,715632.9556,22576504.95,43676726.77,27658438.26,857053.2483,44512699.49,246921.3836,924244.7811,196000352,79267661.91,1142225.476,166736173.1,146994702.1,137162493.4,143992392.1,45093840.8,53841439.56,305248.6739,561698.0985,265373.2783,71784.36884,225960.6947,2600737.373,601580.1207,7622957.138,617146.4547,32858083.54,1085093.867,2069818.051,11301903.6,696393.8355,99096213.65,104994469.3,16154548.34,106319121.6,113190.7014,5277917.38,46620989.62,7691526.282,113080996.1,539034.2636,7525879.917,7251379.989,75122571.81,115033.4823,28112118.73,101289263.6,97438611.5,94311704.98
2247,96.04493411,1.452877396,854240.8182,1003578.883,1471761.19,1674209.938,1656561.193,1385695.774,1182115.778,1259942.068,2092317.579,1346782.573,1360226.869,1353920.262,491178.8205,1177780.477,656650.6117,931517.2255,756656.4313,1178731.433,752625.0219,834295.5026,1573446.674,134327.3682,293055.462,1323715.54,216133.3524,1319487.25,1087060.104,1534716.219,838063.3347,1297832.38,2029615.288,943459.1629,2682026.636,842469.6383,1064509.822,880456.753,2661737.697,2526633.131,1802592.292,1930628.309,2221086.535,2139951.357,2141396.017,874109.0163,949190.6113,921026.4916,591869.6797,736990.6312,893834.39,1359288.769,486521.4158,272720.3508,1028453.412,459170.2305,693139.954,588450.6474,1670056.583,905186.9442,1074767.523,959469.2922,641534.5309,461134.0631,839390.0386,991467.5355,551507.033,1112545.648,3009466.78,691077.9657,800690.535,983686.5447,1054188.854,1983534.862,1275391.15,1515427.654,694322.7266
2307,127.0504236,1.878027242,2099648.664,1157989.815,879940.7676,902884.1102,1031511.951,1986517.463,520306.44,915652.3104,1437118.492,3540765.046,4627175.031,851665.9383,29207928.64,23027367.9,56971283.72,38872297.11,32750808.67,61574896.67,1607854.651,751225.8503,531568.9895,8401.089594,7862.386628,1669284.385,34832.72342,955837.2564,1534578.147,5171001.552,1833900.342,4727763.795,1200502.859,25462488.52,1626924.824,973860.3664,37998005.77,64713977.05,3147442.021,73435342.33,46058715.6,38112737.33,88279571.95,802191.0948,753884.1951,456372.5148,549097.7261,504955.5745,508063.6046,622409.0627,279519.5112,1038771.724,1645937.245,7006.077911,9748688.548,377913.4698,1711499.971,12035984.36,1333513.956,31858930.78,30773555.1,389372.1152,20690468.47,1107209.207,451683.5458,24224856.49,731838.0819,30666554,1693833.582,3284157.378,619821.1249,28005996.79,2308446.942,1144685.4,30603744.7,32262772.6,26868598.93
2855,163.1230329,2.115712698,3623211.487,3034155.887,2309034.359,3228479.809,4703546.532,3016367.183,4616796.335,3971588.751,7351583.948,9007904.26,8273567.635,6338150.912,2586274.905,3872795.007,3988132.25,6239154.743,5235560.803,5204388.204,3941061.175,6142686.581,2966534.398,6952061.003,352492.2019,3286066.366,2983335.559,3397014.653,3069499.668,3338973.358,4203118.759,3353299.423,4822554.213,3664252.755,8753024.365,1900288.275,1771204.89,3288547.754,1156580.796,2833052.443,6147971.788,2900716.605,4564824.284,389047.8394,591563.9343,1072260.193,2707564.214,562568.3838,372049.6122,2240598.769,4053154.325,2378472.098,100983.5082,1979538.47,1179005.37,951514.8159,175854.3848,916501.1185,3381625.878,1903265.676,1431806.043,1292921.323,1031495.045,152344.5935,2804969.924,1885257.027,2679372.884,1903237.212,4827319.118,90783.96841,1796534.019,2148279.197,2909284.951,1609156.504,2622318.822,2986930.989,3696619.74
